date,open,high,low,close,volume,amount,turn,pctChg,tradestatus,isST
2006-01-04,988.6800,997.0200,988.6800,996.5700,43323400,233490000.0000,0.011778,0.130617,1,0
2006-01-05,997.4600,1013.4400,995.3400,1012.8500,45981900,223950000.0000,0.012500,1.633600,1,0
2006-01-06,1013.1500,1023.3100,1006.6000,1022.2500,68016100,338370000.0000,0.018212,0.928077,1,0
2006-01-09,1019.5600,1028.4800,1013.3100,1024.3900,55602500,272160000.0000,0.014888,0.209344,1,0
2006-01-10,1023.2000,1025.5700,1012.7000,1024.1800,39367900,182280000.0000,0.010541,-0.020496,1,0
2006-01-11,1022.7200,1051.7700,1008.5800,1049.6200,62313200,299390000.0000,0.016685,2.483932,1,0
2006-01-12,1043.8800,1047.6500,1029.0500,1046.7000,66822800,349970000.0000,0.017658,-0.278200,1,0
2006-01-13,1046.4100,1047.1800,1021.6900,1027.1000,47470300,242870000.0000,0.012544,-1.872550,1,0
2006-01-16,1022.5800,1023.3200,999.4300,1000.8000,37826300,179900000.0000,0.009996,-2.560606,1,0
2006-01-17,997.0400,1016.8600,994.1700,1008.7600,33123200,166880000.0000,0.008753,0.795366,1,0
2006-01-18,1008.3300,1035.5100,1005.6200,1034.9500,44799600,209410000.0000,0.011838,2.596251,1,0
2006-01-19,1039.4500,1047.5600,1033.3200,1044.8000,61695900,285440000.0000,0.016303,0.951746,1,0
2006-01-20,1048.7900,1051.5500,1031.5900,1036.9700,42260600,198940000.0000,0.011167,-0.749433,1,0
2006-01-23,1037.9200,1045.1600,1030.4800,1042.9500,48796100,256450000.0000,0.012838,0.576678,1,0
2006-01-24,1040.7800,1068.5700,1036.0100,1048.7900,44789600,226640000.0000,0.011783,0.559959,1,0
2006-01-25,1048.8400,1090.4600,1047.2700,1089.2500,65624900,355260000.0000,0.017265,3.857775,1,0
2006-02-06,1090.6800,1131.4100,1086.6700,1127.3600,66202200,358440000.0000,0.017351,3.498736,1,0
2006-02-07,1128.4600,1129.7100,1097.2700,1113.8300,66176500,355090000.0000,0.017344,-1.200152,1,0
2006-02-08,1109.1000,1112.1600,1095.4300,1111.7400,32320000,169090000.0000,0.008471,-0.187638,1,0
2006-02-09,1108.4900,1111.2000,1072.2900,1074.0800,40079700,205450000.0000,0.010505,-3.387486,1,0
2006-02-10,1072.2400,1089.9800,1072.2400,1086.7100,44126900,227670000.0000,0.011565,1.175891,1,0
2006-02-13,1087.9600,1091.7900,1071.7900,1084.3800,35465500,186240000.0000,0.009295,-0.214405,1,0
2006-02-14,1083.1100,1098.6500,1082.2200,1097.2500,27803700,142550000.0000,0.007287,1.186853,1,0
2006-02-15,1098.8900,1135.3600,1098.8900,1120.2600,72472300,413350000.0000,0.018994,2.097062,1,0
2006-02-16,1122.1700,1122.6800,1080.7300,1084.2900,52988400,276010000.0000,0.013744,-3.210859,1,0
2006-02-17,1084.4600,1135.2700,1083.4000,1123.5900,82375300,438450000.0000,0.021367,3.624485,1,0
2006-02-20,1125.4200,1178.7200,1125.4200,1151.2600,124170300,678570000.0000,0.032207,2.462646,1,0
2006-02-21,1147.5600,1172.2000,1128.8400,1170.0500,92745700,490860000.0000,0.024056,1.632128,1,0
2006-02-22,1168.7600,1183.6800,1160.2000,1162.0000,81783700,441360000.0000,0.021213,-0.688009,1,0
2006-02-23,1161.8600,1173.5000,1146.9600,1169.3900,67226400,355590000.0000,0.017437,0.635974,1,0
2006-02-24,1171.2500,1187.4700,1170.3900,1183.1000,72831500,392600000.0000,0.018891,1.172403,1,0
2006-02-27,1182.5900,1186.9600,1149.3900,1156.8400,55160600,292340000.0000,0.014308,-2.219594,1,0
2006-02-28,1155.0300,1158.1100,1132.3500,1156.9800,43387800,223600000.0000,0.011254,0.012103,1,0
2006-03-01,1153.7400,1174.3600,1153.7400,1165.7000,38336000,209240000.0000,0.009944,0.753684,1,0
2006-03-02,1171.6100,1171.6100,1130.2400,1136.9300,55347500,277990000.0000,0.014356,-2.468036,1,0
2006-03-03,1133.3800,1141.6600,1115.2700,1135.2100,47669600,236030000.0000,0.012365,-0.151293,1,0
2006-03-06,1130.3300,1133.5100,1118.3100,1129.0400,37230000,179880000.0000,0.009657,-0.543505,1,0
2006-03-07,1129.8100,1130.5200,1084.3200,1087.6400,55264300,288070000.0000,0.014334,-3.666834,1,0
2006-03-08,1082.6400,1084.9000,1056.7400,1067.6400,33563900,171000000.0000,0.008706,-1.838844,1,0
2006-03-09,1068.2100,1079.9200,1064.4200,1069.8700,21061700,110030000.0000,0.005463,0.208870,1,0
2006-03-10,1069.8000,1084.9500,1069.8000,1079.8500,20816600,103080000.0000,0.005399,0.932822,1,0
2006-03-13,1083.0200,1109.2900,1082.8800,1107.1200,31606400,165770000.0000,0.008198,2.525353,1,0
2006-03-14,1106.8500,1107.5300,1088.6900,1098.0300,17967000,97050000.0000,0.004660,-0.821046,1,0
2006-03-15,1097.8700,1118.8300,1094.3900,1117.2900,26316800,149240000.0000,0.006826,1.754051,1,0
2006-03-16,1116.8300,1135.9700,1110.0200,1134.0400,35793100,200290000.0000,0.009284,1.499163,1,0
2006-03-17,1137.8300,1153.0600,1133.3900,1138.3400,39210100,226200000.0000,0.010170,0.379169,1,0
2006-03-20,1140.7600,1209.5000,1139.9300,1207.1400,85776600,489330000.0000,0.022249,6.043893,1,0
2006-03-21,1215.8800,1245.2600,1200.6000,1207.0400,107006600,682710000.0000,0.027755,-0.008282,1,0
2006-03-22,1204.4800,1237.7000,1194.4000,1231.4500,72160000,429030000.0000,0.018717,2.022295,1,0
2006-03-23,1231.3700,1231.3700,1211.2900,1212.7200,59856900,342800000.0000,0.015526,-1.520970,1,0
2006-03-24,1210.3400,1232.8400,1206.3500,1215.5500,55496000,328580000.0000,0.014395,0.233366,1,0
2006-03-27,1214.0500,1239.2000,1204.8000,1236.1000,58207500,339490000.0000,0.015098,1.690587,1,0
2006-03-28,1237.7200,1253.5400,1235.4400,1242.2100,108576900,555460000.0000,0.027646,0.494295,1,0
2006-03-29,1243.1600,1310.7500,1241.5700,1271.8500,176170300,1025930000.0000,0.044856,2.386071,1,0
2006-03-30,1266.1800,1279.3700,1261.3600,1264.2500,64641400,387380000.0000,0.016459,-0.597553,1,0
2006-03-31,1256.8000,1270.8100,1242.3100,1265.9200,69018400,406360000.0000,0.017573,0.132098,1,0
2006-04-03,1265.9600,1303.7900,1261.8600,1293.3500,85025500,498750000.0000,0.021649,2.166798,1,0
2006-04-04,1296.9600,1310.6700,1280.2500,1301.6100,75743400,452080000.0000,0.019286,0.638652,1,0
2006-04-05,1303.1900,1340.6500,1294.7000,1333.4800,88162800,553880000.0000,0.022448,2.448506,1,0
2006-04-06,1339.7700,1353.1700,1332.8500,1339.0200,82797600,505960000.0000,0.021082,0.415457,1,0
2006-04-07,1343.8800,1349.5800,1320.3100,1336.4900,80117400,445300000.0000,0.020245,-0.188946,1,0
2006-04-10,1333.0100,1357.5900,1330.4800,1356.4800,78864400,417230000.0000,0.019928,1.495708,1,0
2006-04-11,1360.0400,1363.8300,1320.5400,1346.8900,82981900,459530000.0000,0.020968,-0.706974,1,0
2006-04-12,1345.9800,1346.5300,1319.5700,1321.4900,66090000,370040000.0000,0.016700,-1.885828,1,0
2006-04-13,1320.2400,1331.1100,1285.2100,1285.9200,60377000,343990000.0000,0.015256,-2.691655,1,0
2006-04-14,1280.5100,1309.5100,1278.3300,1308.2700,46506200,261300000.0000,0.011751,1.738053,1,0
2006-04-17,1301.2900,1306.7500,1287.4200,1294.1700,45006700,257020000.0000,0.011373,-1.077757,1,0
2006-04-18,1293.2300,1303.3600,1276.9600,1295.6900,41755800,237510000.0000,0.010551,0.117442,1,0
2006-04-19,1296.9200,1330.9200,1296.9100,1326.6300,61389000,363930000.0000,0.015512,2.387922,1,0
2006-04-20,1327.2800,1329.4500,1291.2000,1300.9000,51789600,301930000.0000,0.013087,-1.939499,1,0
2006-04-21,1297.1200,1304.6700,1269.9800,1298.1300,55246900,301990000.0000,0.013960,-0.212931,1,0
2006-04-24,1293.8000,1295.6000,1254.5000,1255.0100,62756700,350180000.0000,0.015858,-3.321701,1,0
2006-04-25,1249.3500,1298.8800,1229.3800,1278.8000,70199300,405990000.0000,0.017738,1.895606,1,0
2006-04-26,1274.9900,1292.0000,1266.1600,1282.3800,51268400,301550000.0000,0.012955,0.279946,1,0
2006-04-27,1278.0700,1292.3400,1266.2100,1269.9800,42437400,254350000.0000,0.010723,-0.966954,1,0
2006-04-28,1235.1600,1249.2900,1217.8200,1245.1600,66262000,370710000.0000,0.016743,-1.954357,1,0
2006-05-08,1245.2600,1306.8000,1244.8500,1300.9400,73156500,432270000.0000,0.018486,4.479738,1,0
2006-05-09,1301.7900,1320.1100,1292.8300,1312.1500,77446600,450960000.0000,0.019570,0.861691,1,0
2006-05-10,1313.9100,1317.9600,1296.4100,1315.8100,70509000,437780000.0000,0.017817,0.278934,1,0
2006-05-11,1317.9100,1333.9700,1281.8400,1283.4000,140582100,798570000.0000,0.035071,-2.463124,1,0
2006-05-12,1272.3800,1272.3800,1244.1100,1263.8900,111797500,620640000.0000,0.027890,-1.520182,1,0
2006-05-15,1268.4400,1289.8700,1236.8700,1289.0100,141688000,782790000.0000,0.035347,1.987514,1,0
2006-05-16,1289.1000,1289.1000,1231.9600,1237.7300,97749300,552780000.0000,0.024385,-3.978249,1,0
2006-05-17,1235.8600,1263.0700,1233.4400,1257.6800,65010600,349190000.0000,0.016218,1.611827,1,0
2006-05-18,1246.1600,1265.8100,1222.9400,1260.7600,79793100,426650000.0000,0.019906,0.244892,1,0
2006-05-19,1258.5300,1272.5700,1247.6500,1269.0400,74379000,409730000.0000,0.018555,0.656749,1,0
2006-05-22,1268.2800,1320.3500,1261.2900,1305.7500,120896600,692870000.0000,0.030160,2.892735,1,0
2006-05-23,1297.4800,1297.4800,1248.0500,1248.5100,76630500,424760000.0000,0.019117,-4.383687,1,0
2006-05-24,1248.9600,1276.3900,1222.4100,1243.3300,66438700,364550000.0000,0.016574,-0.414899,1,0
