date,open,high,low,close,volume,amount,turn,pctChg,tradestatus,isST
2006-01-04,888.1890,901.9880,886.0060,901.8790,451742900,1899937595.0000,0.017260,1.218495,1,0
2006-01-05,902.8940,919.6610,901.0090,917.2270,581312500,2406223916.0000,0.022211,1.701776,1,0
2006-01-06,917.7500,929.6450,911.8730,923.1900,620430400,2607259940.0000,0.023706,0.650113,1,0
2006-01-09,923.9570,926.4080,916.0060,923.6810,477630500,2026701987.0000,0.018249,0.053188,1,0
2006-01-10,923.0810,924.3600,911.6290,924.1230,436931800,1840136366.0000,0.016694,0.047847,1,0
2006-01-11,922.7200,928.6890,913.6630,918.8930,523701100,2141190651.0000,0.020010,-0.565940,1,0
2006-01-12,918.3820,928.2140,912.1680,927.3470,455923600,1952439114.0000,0.017420,0.920018,1,0
2006-01-13,927.7610,929.2190,916.6290,921.0260,404840900,1762537525.0000,0.015468,-0.681620,1,0
2006-01-16,920.8200,921.1640,906.9090,907.0510,411797400,1722314005.0000,0.015698,-1.517327,1,0
2006-01-17,906.0200,913.6840,904.8950,913.0170,311062600,1313120469.0000,0.011858,0.657736,1,0
2006-01-18,912.9650,931.9440,911.4330,930.5500,412784100,1739526174.0000,0.015736,1.920332,1,0
2006-01-19,933.3750,947.2820,925.7820,945.2720,655349200,2655014763.0000,0.024812,1.582073,1,0
2006-01-20,944.4120,949.7530,941.2870,947.3330,567367600,2344185999.0000,0.021481,0.218036,1,0
2006-01-23,948.0340,951.1500,942.7320,948.2350,449591200,1901466995.0000,0.017022,0.095212,1,0
2006-01-24,948.7010,953.9260,941.9350,946.5910,399783200,1738005403.0000,0.015136,-0.173373,1,0
2006-01-25,946.9500,955.4490,943.0750,955.0040,381080700,1758376573.0000,0.014410,0.888771,1,0
2006-02-06,958.2060,978.6290,958.2060,978.3240,518104700,2259136713.0000,0.019592,2.441869,1,0
2006-02-07,980.1730,986.7250,966.6660,975.2230,651125600,2866308231.0000,0.024622,-0.316966,1,0
2006-02-08,976.9110,981.9920,969.0600,979.3460,630986600,2816792620.0000,0.023860,0.422774,1,0
2006-02-09,978.8650,980.8900,964.8030,967.5110,477389300,2070217714.0000,0.018052,-1.208462,1,0
2006-02-10,967.5880,979.7380,961.6730,978.9410,454546200,1987766430.0000,0.017188,1.181381,1,0
2006-02-13,978.7680,980.7020,967.3470,977.0520,382874500,1664356726.0000,0.014436,-0.192961,1,0
2006-02-14,977.7570,978.2500,969.8000,976.0240,305878700,1326778186.0000,0.011533,-0.105216,1,0
2006-02-15,977.7720,988.8750,977.7720,983.9200,589184300,2785461309.0000,0.022214,0.808996,1,0
2006-02-16,984.7460,984.7460,957.4920,959.4180,523015700,2349507802.0000,0.019719,-2.490238,1,0
2006-02-17,957.0700,968.5590,953.4330,958.6580,405775300,1764654199.0000,0.015264,-0.079216,1,0
2006-02-20,959.4310,969.0730,956.3930,962.1830,343424300,1610352970.0000,0.012909,0.367698,1,0
2006-02-21,961.3670,984.5630,956.3930,984.0390,556199300,2430224501.0000,0.020906,2.271503,1,0
2006-02-22,985.4310,995.7230,980.3280,983.6310,651412900,2800677210.0000,0.024416,-0.041464,1,0
2006-02-23,983.5110,989.6110,976.5540,988.2690,415464100,1897767542.0000,0.015567,0.471518,1,0
2006-02-24,990.9150,998.5140,988.8280,997.2270,485366500,2232509291.0000,0.018185,0.906434,1,0
2006-02-27,997.7130,999.7680,989.7650,992.3860,371925900,1643194843.0000,0.013929,-0.485447,1,0
2006-02-28,989.9830,995.2650,977.2690,993.2480,346468700,1493922439.0000,0.012946,0.086861,1,0
2006-03-01,993.9710,999.6980,991.7680,998.3840,329799100,1460733943.0000,0.012322,0.517090,1,0
2006-03-02,998.2870,999.0420,978.8220,981.5070,447394300,1938488667.0000,0.016719,-1.690427,1,0
2006-03-03,980.3360,992.3200,975.8210,990.7220,407252200,1889432472.0000,0.015217,0.938859,1,0
2006-03-06,990.7140,994.8650,985.1560,987.2580,365688200,1541837455.0000,0.013662,-0.349643,1,0
2006-03-07,986.7330,987.2590,964.4540,966.5820,392103100,1700287720.0000,0.014649,-2.094288,1,0
2006-03-08,964.5560,965.8840,948.3830,958.0390,381129200,1592552362.0000,0.014209,-0.883833,1,0
