date,open,high,low,close,volume,amount,turn,pctChg,tradestatus,isST
2006-01-04,837.9160,850.7891,837.8240,850.3801,50478,384132141.0000,0.000000,1.213315,1,0
2006-01-05,851.1091,857.0380,850.1951,856.8660,86769,686236264.0000,0.000000,0.762706,1,0
2006-01-06,857.1310,864.1721,855.0330,863.7330,53749,407430982.0000,0.000000,0.801409,1,0
2006-01-09,864.4771,867.8500,863.5840,866.7601,34305,254952795.0000,0.000000,0.350467,1,0
2006-01-10,865.4980,865.5510,857.9760,862.7081,39601,287044915.0000,0.000000,-0.467488,1,0
2006-01-11,862.1511,862.1511,853.6860,854.6140,37997,284623585.0000,0.000000,-0.938220,1,0
2006-01-12,852.7640,861.5421,851.2610,860.9351,32923,246171257.0000,0.000000,0.739644,1,0
2006-01-13,861.1600,862.4310,851.8461,853.9771,46339,360884522.0000,0.000000,-0.808191,1,0
2006-01-16,854.8411,854.8541,843.0660,843.5010,41789,323348678.0000,0.000000,-1.226743,1,0
2006-01-17,841.7700,845.7531,840.7480,845.3580,20901,156622680.0000,0.000000,0.220154,1,0
2006-01-18,845.1350,860.2180,844.0320,859.8101,41282,318648941.0000,0.000000,1.709583,1,0
2006-01-19,861.2780,863.0510,856.8160,861.9041,45271,353967340.0000,0.000000,0.243542,1,0
2006-01-20,861.8770,863.2061,858.4641,860.4540,33219,247053303.0000,0.000000,-0.168244,1,0
2006-01-23,860.1680,873.9971,860.1680,873.1490,45427,324061276.0000,0.000000,1.475384,1,0
2006-01-24,873.2211,873.3521,866.4561,867.8831,35838,264893914.0000,0.000000,-0.603093,1,0
2006-01-25,867.8441,871.2510,865.3751,871.2081,22068,161804156.0000,0.000000,0.383116,1,0
2006-02-06,873.1550,888.5140,873.1550,887.7330,57946,432036138.0000,0.000000,1.896780,1,0
2006-02-07,888.5131,891.6481,883.3510,887.3760,45614,333154141.0000,0.000000,-0.040215,1,0
2006-02-08,886.6511,887.9271,883.3060,887.4550,165217,1407193632.0000,0.000000,0.008903,1,0
2006-02-09,887.3030,887.3030,876.5391,877.1641,28356,211083718.0000,0.000000,-1.159597,1,0
2006-02-10,876.5341,883.0770,875.9901,883.0770,26754,205405633.0000,0.000000,0.674093,1,0
2006-02-13,882.6481,883.1951,873.9020,877.9990,26813,196897156.0000,0.000000,-0.575035,1,0
2006-02-14,877.6110,879.3151,875.6830,878.6290,15355,115026164.0000,0.000000,0.071754,1,0
2006-02-15,879.0170,884.8140,878.8380,881.6270,28822,216798065.0000,0.000000,0.341213,1,0
2006-02-16,882.1641,882.3411,869.5120,870.9050,30277,221763456.0000,0.000000,-1.216161,1,0
2006-02-17,868.5400,871.9351,867.0580,869.2020,24454,184626640.0000,0.000000,-0.195544,1,0
2006-02-20,868.6880,870.3281,865.6860,866.1771,16931,129288689.0000,0.000000,-0.348009,1,0
2006-02-21,865.5490,872.3250,859.6610,872.2990,27946,213863271.0000,0.000000,0.706772,1,0
2006-02-22,872.9830,878.4330,872.2191,873.6360,118347,1012220494.0000,0.000000,0.153273,1,0
2006-02-23,873.6230,874.3231,868.3170,872.3510,25525,205070380.0000,0.000000,-0.147086,1,0
2006-02-24,872.7010,877.2941,871.7800,877.2300,32591,265553884.0000,0.000000,0.559293,1,0
2006-02-27,878.4741,879.6320,876.1160,876.7350,58441,499010322.0000,0.000000,-0.056428,1,0
2006-02-28,876.7040,877.0441,868.5701,876.0240,42812,356253843.0000,0.000000,-0.081096,1,0
2006-03-01,875.8411,877.4650,874.3380,877.3210,17805,135745974.0000,0.000000,0.148055,1,0
