date,open,high,low,close,volume,amount,turn,pctChg,tradestatus,isST
2006-01-04,61.9930,62.9620,61.9930,62.9270,24909500,69673657.0000,0.002461,1.470610,1,0
2006-01-05,63.0530,65.4010,63.0150,65.3940,52989100,147104629.0000,0.005236,3.920414,1,0
2006-01-06,65.5900,67.2740,65.3190,66.9660,67076000,180316121.0000,0.006628,2.403900,1,0
2006-01-09,67.0910,69.8200,67.0910,69.5850,80577700,207022200.0000,0.007962,3.910933,1,0
2006-01-10,69.7790,70.7810,68.9490,70.7650,84567500,208771965.0000,0.008356,1.695768,1,0
2006-01-11,70.8360,72.0190,69.7700,70.7310,94362000,230959933.0000,0.009324,-0.048042,1,0
2006-01-12,70.6070,72.5610,70.0100,72.4890,75943700,218434436.0000,0.007504,2.485467,1,0
2006-01-13,72.5600,73.0580,71.0330,71.8030,58026000,166096857.0000,0.005733,-0.946346,1,0
2006-01-16,71.6200,71.7590,70.5270,70.5590,49999300,143251979.0000,0.004940,-1.732523,1,0
2006-01-17,70.3970,71.4730,70.0950,71.1260,51949000,142613917.0000,0.005133,0.803585,1,0
2006-01-18,71.0690,77.7440,70.9880,77.6170,167688100,516152375.0000,0.016569,9.126055,1,0
2006-01-19,78.7800,84.9950,78.7800,84.8080,311966800,1001788373.0000,0.030825,9.264726,1,0
2006-01-20,86.1800,86.5000,82.5980,85.4620,186399200,569507121.0000,0.018418,0.771153,1,0
2006-01-23,84.8460,86.3370,83.3200,85.8320,130341400,408561936.0000,0.012879,0.432944,1,0
2006-01-24,85.6040,89.7180,85.2690,85.6290,176884600,523400301.0000,0.017478,-0.236512,1,0
2006-01-25,85.4170,87.2690,84.3840,86.5150,126928000,429669989.0000,0.012541,1.034698,1,0
2006-02-06,86.5940,93.0070,86.5940,92.8070,126415000,456146089.0000,0.012491,7.272727,1,0
2006-02-07,93.3700,94.8840,91.6190,94.4790,169836300,598125794.0000,0.016781,1.801585,1,0
2006-02-08,94.2140,94.2610,91.6870,93.5190,97711000,328005662.0000,0.009655,-1.016098,1,0
2006-02-09,93.1400,93.1410,85.6360,85.7960,136936500,445502388.0000,0.013530,-8.258215,1,0
2006-02-10,84.7270,87.5660,84.6640,85.5850,91535600,295700188.0000,0.009044,-0.245930,1,0
2006-02-13,85.5420,86.2040,82.3170,85.0090,92690800,313723018.0000,0.009159,-0.673011,1,0
2006-02-14,84.6850,87.1020,84.6450,85.3300,56576500,206240865.0000,0.005590,0.377606,1,0
2006-02-15,85.2320,87.1130,85.2320,86.3180,51929300,181383661.0000,0.005131,1.157856,1,0
2006-02-16,86.2220,86.5220,82.9430,83.8280,76343700,207052228.0000,0.007543,-2.884680,1,0
2006-02-17,83.4740,84.8730,83.4010,84.0570,51913400,169080364.0000,0.005129,0.273174,1,0
2006-02-20,83.8420,85.1690,83.5930,83.8650,55177100,206164295.0000,0.005452,-0.228418,1,0
2006-02-21,83.4130,85.0790,81.7590,85.0790,71924700,265490266.0000,0.007107,1.447570,1,0
2006-02-22,85.2070,86.3580,84.9300,85.0700,65269500,223173854.0000,0.006449,-0.010582,1,0
2006-02-23,84.9270,86.0360,84.7730,85.8740,39732700,129265671.0000,0.003926,0.945105,1,0
2006-02-24,85.7530,88.0940,85.7530,88.0310,68148900,222504773.0000,0.006734,2.511817,1,0
2006-02-27,88.0870,88.5980,85.7790,86.1700,54725600,195301650.0000,0.005407,-2.114028,1,0
2006-02-28,85.8550,86.5750,83.3690,86.2760,41113500,142799212.0000,0.004062,0.123016,1,0
2006-03-01,86.3830,87.0500,86.1160,86.7930,33939200,119628342.0000,0.003353,0.599238,1,0
2006-03-02,86.5920,87.0090,85.2170,85.5250,38076600,152653078.0000,0.003762,-1.460945,1,0
2006-03-03,85.3110,86.6260,84.7580,86.4880,49285200,191828564.0000,0.004870,1.125983,1,0
2006-03-06,86.3900,86.9750,86.0210,86.2630,35782000,163727046.0000,0.003536,-0.260150,1,0
2006-03-07,86.0910,86.1460,81.7540,81.9290,66218600,229259923.0000,0.006543,-5.024170,1,0
2006-03-08,81.0950,81.9470,79.5490,81.3750,52974800,203276508.0000,0.005234,-0.676196,1,0
2006-03-09,81.0900,81.9900,80.9950,81.0590,23990300,86113724.0000,0.002370,-0.388328,1,0
2006-03-10,81.1110,82.2030,81.1110,81.7300,21320300,85819099.0000,0.002107,0.827799,1,0
2006-03-13,81.2750,83.9480,81.2750,83.8020,37651100,149741575.0000,0.003720,2.535175,1,0
2006-03-14,83.7790,84.0350,82.4160,83.3130,23196300,96586128.0000,0.002292,-0.583516,1,0
2006-03-15,83.4150,84.6460,83.1880,84.4110,28457800,105623779.0000,0.002812,1.317921,1,0
2006-03-16,84.0640,85.2390,84.0640,84.6930,31444000,125674825.0000,0.003107,0.334077,1,0
2006-03-17,84.4130,84.9580,83.4220,83.7880,47953700,233331033.0000,0.004738,-1.068564,1,0
2006-03-20,83.7180,85.9280,83.6640,85.9150,53102300,192314010.0000,0.005247,2.538548,1,0
2006-03-21,86.3450,87.1770,86.0750,86.2520,58089800,215144399.0000,0.005740,0.392246,1,0
2006-03-22,86.3400,87.4960,86.0600,87.4760,40661000,156125177.0000,0.004018,1.419096,1,0
2006-03-23,87.3100,88.0660,87.3100,88.0340,43218100,143790601.0000,0.004270,0.637888,1,0
2006-03-24,87.9030,88.1310,87.1330,87.4020,50338500,161244571.0000,0.004974,-0.717900,1,0
2006-03-27,87.0640,87.6090,86.3700,87.5420,35446800,132118074.0000,0.003502,0.160179,1,0
2006-03-28,87.5590,88.0800,87.4370,87.6030,29878700,97462217.0000,0.002952,0.069677,1,0
2006-03-29,87.5410,89.7230,87.3410,88.4680,58402100,234032121.0000,0.005771,0.987415,1,0
2006-03-30,88.5220,88.8880,88.1670,88.2780,37206900,156086415.0000,0.003676,-0.214770,1,0
2006-03-31,87.9530,88.3690,87.4090,88.3080,28990900,112116860.0000,0.002865,0.033982,1,0
