date,open,high,low,close,volume,amount,turn,pctChg,tradestatus,isST
2011-08-31,145.0400,145.1600,144.7900,145.1500,40714700,392050000.0000,0.000000,0.089636,1,0
2012-01-04,148.5600,148.5600,148.3700,148.3900,53593100,516490000.0000,0.000000,-0.060612,1,0
2012-01-05,148.4200,148.4300,148.3000,148.3000,102674700,980380000.0000,0.000000,-0.060649,1,0
2012-01-06,148.3300,148.3500,148.2200,148.3100,119001100,1136360000.0000,0.000000,0.006739,1,0
2012-01-09,148.3700,148.4100,148.3300,148.3700,107738700,1051450000.0000,0.000000,0.040454,1,0
2012-01-10,148.3900,148.3900,148.2600,148.3800,133680600,1297440000.0000,0.000000,0.006746,1,0
2012-01-11,148.4000,148.4300,148.3400,148.4100,87302500,851740000.0000,0.000000,0.020218,1,0
2012-01-12,148.4300,148.5200,148.3900,148.5100,117614300,1143450000.0000,0.000000,0.067375,1,0
2012-01-13,148.5300,148.5900,148.4800,148.5200,89501700,872450000.0000,0.000000,0.006740,1,0
2012-01-16,148.5900,148.5900,148.4700,148.5200,102934400,998900000.0000,0.000000,0.000000,1,0
2012-01-17,148.5400,148.5500,148.4500,148.5100,65973500,630720000.0000,0.000000,-0.006740,1,0
2012-01-18,148.5400,148.5500,148.4000,148.4900,67059100,640430000.0000,0.000000,-0.013460,1,0
2012-01-19,148.5100,148.5600,148.4800,148.5500,81035900,773100000.0000,0.000000,0.040405,1,0
2012-01-20,148.5700,148.7400,148.5400,148.7200,112641400,1090380000.0000,0.000000,0.114438,1,0
2012-01-30,148.9300,148.9600,148.8300,148.8900,73894600,711660000.0000,0.000000,0.114308,1,0
2012-01-31,148.9100,148.9200,148.8200,148.9000,73905500,710350000.0000,0.000000,0.006713,1,0
2012-02-01,148.9200,148.9400,148.8600,148.9200,72567600,703990000.0000,0.000000,0.013435,1,0
2012-02-02,148.9400,148.9600,148.8200,148.8600,79326200,757420000.0000,0.000000,-0.040288,1,0
2012-02-03,148.8900,148.9300,148.8700,148.9300,120393800,1169520000.0000,0.000000,0.047019,1,0
2012-02-06,148.9900,148.9900,148.9000,148.9500,86519400,835760000.0000,0.000000,0.013432,1,0
2012-02-07,148.9700,148.9700,148.8900,148.9300,75230300,724150000.0000,0.000000,-0.013430,1,0
2012-02-08,148.9500,148.9500,148.8900,148.9300,92907600,900740000.0000,0.000000,0.000000,1,0
2012-02-09,148.9500,148.9500,148.8200,148.8800,102307500,993600000.0000,0.000000,-0.033565,1,0
2012-02-10,148.9000,148.9100,148.8500,148.9100,93460000,916170000.0000,0.000000,0.020150,1,0
2012-02-13,148.9700,149.0100,148.8400,148.9600,119870600,1170270000.0000,0.000000,0.033579,1,0
2012-02-14,148.9900,149.0100,148.9600,148.9900,113716300,1101340000.0000,0.000000,0.020139,1,0
2012-02-15,149.0300,149.0900,148.9400,149.0700,131708900,1267120000.0000,0.000000,0.053696,1,0
2012-02-16,149.0900,149.1500,149.0400,149.1400,90657000,881420000.0000,0.000000,0.046952,1,0
2012-02-17,149.1600,149.1800,149.1400,149.1600,79318400,767540000.0000,0.000000,0.013413,1,0
