date,open,high,low,close,volume,amount,turn,pctChg,tradestatus,isST
2006-01-04,801.4130,812.8430,800.2140,812.5970,997307300,5495885380.0000,0.021319,2.034288,1,0
2006-01-05,815.4700,829.0870,813.2470,827.8360,1153632700,6274597087.0000,0.024661,1.875347,1,0
2006-01-06,828.8780,842.6920,824.5300,836.8950,1211249900,6483148080.0000,0.025893,1.094301,1,0
2006-01-09,837.7600,841.1320,832.3300,838.2920,903786600,4933678764.0000,0.019320,0.166923,1,0
2006-01-10,837.9440,838.8500,826.9650,838.5630,875412100,5035340982.0000,0.018714,0.032327,1,0
2006-01-11,837.9710,842.0620,829.3210,832.2760,912504600,5018799469.0000,0.019507,-0.749733,1,0
2006-01-12,830.6940,837.9740,827.4960,836.5790,644727500,3271603287.0000,0.013782,0.517013,1,0
2006-01-13,838.3760,840.6780,828.3380,831.1360,674453700,3527432891.0000,0.014397,-0.650625,1,0
2006-01-16,830.4780,830.4780,814.5700,814.8910,698572300,3505395845.0000,0.014912,-1.954553,1,0
2006-01-17,813.8800,819.9520,813.1220,818.3550,535048100,2794019582.0000,0.011421,0.425086,1,0
2006-01-18,818.0290,836.2050,817.5420,835.1500,743448500,3735509700.0000,0.015870,2.052293,1,0
2006-01-19,835.9320,842.7400,830.5810,840.5910,891361200,4245242674.0000,0.019005,0.651497,1,0
2006-01-20,840.0890,844.4300,836.6780,840.3760,871186100,4201753739.0000,0.018575,-0.025580,1,0
2006-01-23,840.9620,843.0930,835.6740,840.1280,710968700,3482126238.0000,0.015135,-0.029509,1,0
2006-01-24,841.7290,843.7780,834.7490,838.4600,749015500,4664090011.0000,0.015634,-0.198538,1,0
2006-01-25,838.1950,847.1610,837.4700,846.9890,684300100,3729054517.0000,0.014283,1.017221,1,0
2006-02-06,849.5100,861.4260,849.3710,861.0700,920965600,4676352364.0000,0.019223,1.662477,1,0
2006-02-07,861.6660,863.9640,848.4940,856.6690,1163391100,6180448799.0000,0.024283,-0.511108,1,0
2006-02-08,856.9370,863.4450,854.1710,862.5750,1139878800,5653861355.0000,0.023792,0.689415,1,0
2006-02-09,862.0490,862.0490,848.7810,850.8020,861723400,4117262935.0000,0.017987,-1.364868,1,0
2006-02-10,850.9320,860.2960,848.4320,859.9700,680595800,3560998015.0000,0.014134,1.077568,1,0
