date,open,high,low,close,volume,amount,turn,pctChg,tradestatus,isST
2006-01-04,1021.1300,1039.5300,1021.1300,1039.4500,612075300,3262470000.0000,0.021029,3.919015,1,0
2006-01-05,1048.5200,1058.8500,1042.0400,1057.8700,619015300,3324400000.0000,0.021267,1.772095,1,0
2006-01-06,1060.9700,1081.1800,1056.3600,1071.6900,637848400,3246600000.0000,0.021915,1.306394,1,0
2006-01-09,1074.6200,1081.0300,1066.7700,1078.8800,575243400,3008870000.0000,0.019764,0.670909,1,0
2006-01-10,1078.5300,1090.1000,1066.4300,1089.0100,588539400,3076430000.0000,0.020156,0.938937,1,0
2006-01-11,1088.7600,1092.3600,1077.2400,1084.5000,594002000,3194540000.0000,0.020343,-0.414139,1,0
2006-01-12,1082.9300,1096.5000,1079.5900,1096.3200,436780200,1981090000.0000,0.014952,1.089898,1,0
2006-01-13,1097.4900,1105.3600,1086.0900,1092.9800,551647200,2478790000.0000,0.018882,-0.304652,1,0
2006-01-16,1092.2300,1092.2300,1069.0100,1069.4200,460475400,2040800000.0000,0.015761,-2.155569,1,0
2006-01-17,1068.1600,1077.0800,1066.4500,1073.0900,321934000,1423390000.0000,0.011019,0.343169,1,0
2006-01-18,1072.3300,1099.2500,1072.3300,1098.9100,405402900,1834520000.0000,0.013873,2.406142,1,0
2006-01-19,1100.8600,1109.8300,1096.1500,1107.2300,493397000,2240870000.0000,0.016884,0.757109,1,0
2006-01-20,1107.5000,1110.0600,1100.7000,1107.6300,427788000,1952560000.0000,0.014632,0.036128,1,0
2006-01-23,1106.8400,1114.5400,1105.8700,1113.3000,503509500,2200290000.0000,0.017185,0.511908,1,0
2006-01-24,1112.1900,1122.7200,1107.9500,1116.3800,508814700,2228340000.0000,0.016779,0.276651,1,0
2006-01-25,1115.6700,1127.6900,1114.3800,1125.8200,451677300,2013310000.0000,0.014895,0.845585,1,0
2006-02-06,1128.3500,1145.6600,1127.7800,1144.0800,480251000,2279570000.0000,0.015837,1.621930,1,0
2006-02-07,1145.0500,1146.9600,1129.4100,1137.6500,634813800,2927790000.0000,0.020924,-0.562018,1,0
2006-02-08,1135.5700,1142.9100,1131.4900,1142.2100,533932000,2422250000.0000,0.017599,0.400821,1,0
2006-02-09,1141.4700,1141.4700,1125.4600,1128.1700,533155300,2383070000.0000,0.017540,-1.229189,1,0
2006-02-10,1126.8000,1137.1000,1126.1500,1136.8500,461168700,2073380000.0000,0.015120,0.769382,1,0
