date,open,high,low,close,volume,amount,turn,pctChg,tradestatus,isST
2006-01-04,908.1100,922.3900,904.4800,921.8600,1248611300,6565860000.0000,0.954343,1.456036,1,0
2006-01-05,922.3300,931.8100,919.6100,931.1600,1687702200,8345170000.0000,1.289950,1.008829,1,0
2006-01-06,932.3400,943.4600,926.2100,939.3500,2036124000,10301900000.0000,1.556257,0.879548,1,0
2006-01-09,939.5200,945.9100,935.6400,944.5400,1728083200,8663460000.0000,1.320814,0.552510,1,0
2006-01-10,944.7700,949.8600,936.8700,949.7400,1637403800,8290710000.0000,1.251506,0.550534,1,0
2006-01-11,948.9300,952.6300,935.7700,940.6200,1913223200,9379390000.0000,1.462321,-0.960262,1,0
2006-01-12,938.8900,955.3800,935.6300,954.8200,1738314200,8470120000.0000,1.328634,1.509644,1,0
2006-01-13,956.3000,957.8200,946.0700,951.0700,1750869600,8578410000.0000,1.338230,-0.392744,1,0
2006-01-16,951.1900,953.2400,938.4000,938.7200,1621239600,7941140000.0000,1.239151,-1.298541,1,0
2006-01-17,936.4200,944.3500,935.5000,944.1600,1300375200,6479060000.0000,0.993907,0.579513,1,0
2006-01-18,943.1700,964.8600,941.1500,963.3300,1752344200,8348750000.0000,1.339357,2.030381,1,0
2006-01-19,964.6800,982.8300,963.2500,982.3600,2222991200,10244280000.0000,1.699084,1.975436,1,0
2006-01-20,981.9900,991.0100,980.3600,988.3100,2229794200,11284200000.0000,1.704284,0.605685,1,0
2006-01-23,988.1100,989.8200,977.0300,988.0900,1820348200,9242290000.0000,1.391334,-0.022257,1,0
2006-01-24,987.3800,992.3100,979.6700,983.7200,1819269200,9718790000.0000,1.390510,-0.442273,1,0
2006-01-25,983.1000,988.6000,977.5700,986.2400,1625326200,8654130000.0000,1.242275,0.256172,1,0
2006-02-06,991.2600,1012.6600,991.2600,1012.6000,1757928000,9259510000.0000,1.343625,2.672776,1,0
2006-02-07,1014.2300,1023.6800,999.1800,1009.2200,2291627600,12207650000.0000,1.751544,-0.333795,1,0
2006-02-08,1010.2200,1018.6200,1004.8500,1016.0600,2020492400,10663480000.0000,1.526574,0.677754,1,0
2006-02-09,1015.1400,1015.1400,996.8400,999.1600,1714114600,8923030000.0000,1.295092,-1.663290,1,0
2006-02-10,999.6500,1011.8500,995.4900,1010.1400,1596392800,8497200000.0000,1.206147,1.098927,1,0
2006-02-13,1011.1300,1012.2700,997.3000,1006.6700,1701887800,8789290000.0000,1.285854,-0.343520,1,0
2006-02-14,1006.6100,1013.7200,1003.3400,1013.6400,1400364700,7305900000.0000,1.058039,0.692385,1,0
2006-02-15,1016.3700,1028.7600,1014.8300,1028.3500,1804880400,9293450000.0000,1.363669,1.451202,1,0
2006-02-16,1026.7300,1026.7300,1002.7100,1005.0700,2044208000,10333750000.0000,1.544492,-2.263818,1,0
2006-02-17,1003.9900,1010.7800,997.0700,999.4200,1529734900,7560240000.0000,1.155784,-0.562152,1,0
2006-02-20,1000.5700,1009.5700,996.7200,999.6800,1223108100,6062220000.0000,0.924114,0.026016,1,0
2006-02-21,998.8200,1018.2900,990.2200,1017.8100,1675413100,8407170000.0000,1.265851,1.813581,1,0
2006-02-22,1017.8400,1026.9200,1012.2300,1014.2700,1747788400,8781720000.0000,1.320534,-0.347803,1,0
2006-02-23,1014.1600,1019.5700,1006.0000,1017.6300,1310812700,6388650000.0000,0.990379,0.331271,1,0
2006-02-24,1017.9100,1023.2200,1014.0500,1022.6200,1427272700,6871640000.0000,1.078370,0.490354,1,0
2006-02-27,1022.9300,1030.5300,1019.6700,1024.5000,1290076400,6028680000.0000,0.953953,0.183842,1,0
2006-02-28,1021.9200,1025.1300,1008.5600,1024.6900,1347185900,6709590000.0000,0.996183,0.018540,1,0
2006-03-01,1024.6300,1033.1800,1023.1100,1030.8700,1371820500,6788770000.0000,1.014399,0.603114,1,0
2006-03-02,1030.7800,1033.7200,1012.1800,1015.3000,1679645600,8673230000.0000,1.242021,-1.510375,1,0
2006-03-03,1014.2600,1027.0200,1008.5600,1024.6400,1436896200,7189750000.0000,1.062519,0.919928,1,0
2006-03-06,1023.7100,1027.7600,1017.7600,1019.9700,1144698100,5628780000.0000,0.846452,-0.455774,1,0
2006-03-07,1019.2900,1019.2900,994.3500,996.3800,1379621600,6458980000.0000,1.020167,-2.312810,1,0
2006-03-08,993.5700,994.3000,974.9000,985.6200,1273312200,5947630000.0000,0.941556,-1.079910,1,0
2006-03-09,984.0900,990.0000,980.9100,983.2700,968991800,4644890000.0000,0.716525,-0.238426,1,0
2006-03-10,983.0000,990.6200,978.1700,982.1000,908379800,4458850000.0000,0.671705,-0.118995,1,0
2006-03-13,981.6400,995.0300,981.6400,994.9000,854941500,4108550000.0000,0.632190,1.303335,1,0
2006-03-14,995.6200,997.9400,988.4500,996.5400,927352800,4428360000.0000,0.685735,0.164836,1,0
2006-03-15,996.6900,1012.0900,996.0000,1011.2600,1210897200,6236920000.0000,0.895403,1.477114,1,0
2006-03-16,1011.3100,1014.4300,1007.7000,1010.1600,1131434300,5711450000.0000,0.836644,-0.108779,1,0
2006-03-17,1008.7500,1012.6700,1002.8100,1005.9700,1160084600,5781920000.0000,0.857830,-0.414786,1,0
2006-03-20,1006.2700,1022.0100,1002.4100,1021.3300,1146975800,5506810000.0000,0.848136,1.526889,1,0
2006-03-21,1021.0800,1027.0200,1017.5100,1022.5600,1399624200,6864320000.0000,1.034958,0.120429,1,0
2006-03-22,1021.4600,1027.2100,1012.9400,1027.1100,1383535100,7015110000.0000,1.023061,0.444960,1,0
2006-03-23,1026.3000,1034.9000,1020.7100,1034.6400,1603079900,8199370000.0000,1.185405,0.733128,1,0
2006-03-24,1034.1900,1041.5700,1028.3300,1029.5300,1564442000,8263800000.0000,1.156834,-0.493890,1,0
2006-03-27,1031.6600,1032.3300,1018.5200,1027.2700,1183985400,5992960000.0000,0.875503,-0.219519,1,0
2006-03-28,1026.8000,1031.9000,1023.1600,1027.3800,1498764600,7011070000.0000,1.108268,0.010707,1,0
2006-03-29,1027.6600,1038.2000,1025.1100,1032.5400,1882870200,10004360000.0000,1.392297,0.502252,1,0
2006-03-30,1032.3300,1034.5800,1023.1600,1024.2900,1446357300,7857270000.0000,1.069515,-0.799000,1,0
2006-03-31,1021.2100,1026.7300,1015.9100,1026.4500,1668008500,9100420000.0000,1.233416,0.210869,1,0
2006-04-03,1026.7500,1043.0800,1026.7500,1042.9600,2014571600,11062410000.0000,1.489684,1.608457,1,0
2006-04-04,1042.1500,1049.1200,1037.9200,1048.6600,2277349600,12334830000.0000,1.683996,0.546528,1,0
2006-04-05,1048.9400,1058.3900,1045.4200,1057.2100,2329096200,12584710000.0000,1.722260,0.815319,1,0
2006-04-06,1058.5700,1066.2000,1055.5200,1059.9300,2557132400,13618180000.0000,1.890883,0.257290,1,0
2006-04-07,1061.0400,1065.4200,1053.4300,1062.8600,2575430200,13139760000.0000,1.904413,0.276427,1,0
2006-04-10,1063.8400,1073.4800,1057.9700,1073.0200,2582930000,12709640000.0000,1.909959,0.955915,1,0
2006-04-11,1074.5900,1079.5800,1066.2700,1076.0000,2691105000,14171890000.0000,1.989949,0.277719,1,0
2006-04-12,1075.6100,1079.6500,1070.6300,1076.5100,2336560000,11842960000.0000,1.727780,0.047399,1,0
2006-04-13,1075.7900,1079.2400,1055.1800,1056.0000,2586830800,12648700000.0000,1.912843,-1.905232,1,0
2006-04-14,1054.5900,1078.8600,1052.6300,1078.1600,2555723800,11850150000.0000,1.889841,2.098488,1,0
2006-04-17,1078.0600,1101.1900,1071.9800,1097.1600,2524211800,12603450000.0000,1.866540,1.762262,1,0
2006-04-18,1098.2300,1111.0900,1091.0100,1105.5300,2291709200,11498950000.0000,1.694614,0.762878,1,0
2006-04-19,1110.3200,1122.2800,1103.2000,1119.7800,2545556800,14084970000.0000,1.882323,1.288975,1,0
2006-04-20,1121.1400,1130.2900,1102.6400,1111.2900,2733835200,15882970000.0000,2.021547,-0.758184,1,0
2006-04-21,1111.9600,1146.0700,1111.5900,1142.4900,2838412400,16201010000.0000,2.098877,2.807544,1,0
2006-04-24,1150.3200,1158.7000,1133.3900,1138.9800,3175574000,18784480000.0000,2.348192,-0.307225,1,0
2006-04-25,1135.9800,1137.8400,1118.5600,1128.9200,2889299000,17252320000.0000,2.136505,-0.883241,1,0
